"1","1","A00.0","Cholera due to vibrio cholerae 01, biovar cholerae"
"2","1","A00.1","Cholera due to vibrio cholerae 01, biovar eltor"
"3","1","A00.9","Cholera, unspecified"
"4","2","A01.0","Typhoid fever"
"5","2","A01.1","Paratyphoid fever a"
"6","2","A01.2","Paratyphoid fever b"
"7","2","A01.3","Paratyphoid fever c"
"8","2","A01.4","Paratyphoid fever, unspecified"
"9","7","A02.0","Salmonella enteritis"
"10","7","A02.1","Salmonella septicaemia"
"11","7","A02.2","Localized salmonella infections"
"12","7","A02.8","Other specified salmonella infections"
"13","7","A02.9","Salmonella infection, unspecified"
"14","3","A03.0","Shigellosis due to shigella dysenteriae"
"15","3","A03.1","Shigellosis due to shigella flexneri"
"16","3","A03.2","Shigellosis due to shigella boydii"
"17","3","A03.3","Shigellosis due to shigella sonnei"
"18","3","A03.8","Other shigellosis"
"19","3","A03.9","Shigellosis, unspecified"
"20","7","A04.0","Enteropathogenic escherichia coli infection"
"21","7","A04.1","Enterotoxigenic escherichia coli infection"
"22","7","A04.2","Enteroinvasive escherichia coli infection"
"23","7","A04.3","Enterohaemorrhagic escherichia coli infection"
"24","7","A04.4","Other intestinal escherichia coli infections"
"25","7","A04.5","Campylobacter enteritis"
"26","7","A04.6","Enteritis due to yersinia enterocolitica"
"27","7","A04.7","Enterocolitis due to clostridium difficile"
"28","7","A04.8","Other specified bacterial intestinal infections"
"29","7","A04.9","Bacterial intestinal infection, unspecified"
"30","7","A05.0","Foodborne staphylococcal intoxication"
"31","7","A05.1","Botulism"
"32","7","A05.2","Foodborne clostridium perfringens intoxication"
"33","7","A05.3","Foodborne vibrio parahaemolyticus intoxication"
"34","7","A05.4","Foodborne bacillus cereus intoxication"
"35","7","A05.8","Other specified bacterial foodborne intoxications"
"36","7","A05.9","Bacterial foodborne intoxication, unspecified"
"37","5","A06.0","Acute amoebic dysentery"
"38","5","A06.1","Chronic intestinal amoebiasis"
"39","5","A06.2","Amoebic nondysenteric colitis"
"40","5","A06.3","Amoeboma of intestine"
"41","4","A06.4","Amoebic liver abscess"
"42","5","A06.5","Amoebic lung abscess"
"43","5","A06.6","Amoebic brain abscess"
"44","5","A06.7","Cutaneous amoebiasis"
"45","5","A06.8","Amoebic infection of other sites"
"46","5","A06.9","Amoebiasis, unspecified"
"47","7","A07.0","Balantidiasis"
"48","7","A07.1","Giardiasis [lambliasis]"
"49","7","A07.2","Cryptosporidiosis"
"50","7","A07.3","Isosporiasis"
"51","7","A07.8","Other specified protozoal intestinal diseases"
"52","7","A07.9","Protozoal intestinal disease, unspecified"
"53","7","A08.0","Rotaviral enteritis"
"54","7","A08.1","Acute gastroenteropathy due to norwalk agent"
"55","7","A08.2","Adenoviral enteritis"
"56","7","A08.3","Other viral enteritis"
"57","7","A08.4","Viral intestinal infection, unspecified"
"58","7","A08.5","Other specified intestinal infections"
"59","6","A09","Diarrhoea and gastroenteritis of presumed infectious origin"
"60","8","A15.0","Tb lung confirm sputum microscopy with or without culture"
"61","9","A15.1","Tuberculosis of lung, confirmed by culture only"
"62","9","A15.2","Tuberculosis of lung, confirmed histologically"
"63","9","A15.3","Tuberculosis of lung, confirmed by unspecified means"
"64","9","A15.4","Tb intrathoracic lymph nodes confirm bact histologically"
"65","9","A15.5","Tuberculosis of larynx, trachea & bronchus conf bact/hist'y"
"66","9","A15.6","Tuberculous pleurisy, conf bacteriologically/his'y"
"67","9","A15.7","Primary respiratory tb confirm bact and histologically"
"68","9","A15.8","Other respiratory tb confirm bact and histologically"
"69","9","A15.9","Respiratory tb unspec confirm bact and histologically"
"70","9","A16.0","Tuberculosis of lung, bacteriologically & histolog'y neg"
"71","9","A16.1","Tuberculosis lung bact and histological examin not done"
"72","9","A16.2","Tb lung without mention of bact or histological confirm"
"73","10","A16.3","Tb intrathoracic lymph node without bact or hist confirm"
"74","10","A16.4","Tb larynx trachea and bronchus without bact or hist confirm"
"75","10","A16.5","Tb pleurisy without mention of bact or histological confirm"
"76","10","A16.7","Prim respiratory tb without mention of bact or hist confirm"
"77","10","A16.8","Oth respiratory tb without mention of bact or hist confirm"
"78","10","A16.9","Resp tb unspec without mention of bact or hist confirm"
"79","11","A17.0","Tuberculous meningitis"
"80","12","A17.1","Meningeal tuberculoma"
"81","12","A17.8","Other tuberculosis of nervous system"
"82","12","A17.9","Tuberculosis of nervous system unspecified"
"83","13","A18.0","Tuberculosis of bones and joints"
"84","16","A18.1","Tuberculosis of genitourinary system"
"85","14","A18.2","Tuberculous peripheral lymphadenopathy"
"86","16","A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands"
"87","16","A18.4","Tuberculosis of skin and subcutaneous tissue"
"88","16","A18.5","Tuberculosis of eye"
"89","16","A18.6","Tuberculosis of ear"
"90","16","A18.7","Tuberculosis of adrenal glands"
"91","16","A18.8","Tuberculosis of other specified organs"
"92","15","A19.0","Acute miliary tuberculosis of a single specified site"
"93","15","A19.1","Acute miliary tuberculosis of multiple sites"
"94","15","A19.2","Acute miliary tuberculosis, unspecified"
"95","15","A19.8","Other miliary tuberculosis"
"96","15","A19.9","Miliary tuberculosis, unspecified"
"97","17","A20.0","Bubonic plague"
"98","17","A20.1","Cellulocutaneous plague"
"99","17","A20.2","Pneumonic plague"
"100","17","A20.3","Plague meningitis"
"101","17","A20.7","Septicaemic plague"
"102","17","A20.8","Other forms of plague"
"103","17","A20.9","Plague, unspecified"
"104","27","A21.0","Ulceroglandular tularaemia"
"105","27","A21.1","Oculoglandular tularaemia"
"106","27","A21.2","Pulmonary tularaemia"
"107","27","A21.3","Gastrointestinal tularaemia"
"108","27","A21.7","Generalized tularaemia"
"109","27","A21.8","Other forms of tularaemia"
"110","27","A21.9","Tularaemia, unspecified"
"111","26","A22.0","Cutaneous anthrax"
"112","26","A22.1","Pulmonary anthrax"
"113","26","A22.2","Gastrointestinal anthrax"
"114","26","A22.7","Anthrax septicaemia"
"115","26","A22.8","Other forms of anthrax"
"116","26","A22.9","Anthrax, unspecified"
"117","18","A23.0","Brucellosis due to brucella melitensis"
"118","18","A23.1","Brucellosis due to brucella abortus"
"119","18","A23.2","Brucellosis due to brucella suis"
"120","18","A23.3","Brucellosis due to brucella canis"
"121","18","A23.8","Other brucellosis"
"122","18","A23.9","Brucellosis, unspecified"
"123","27","A24.0","Glanders"
"124","27","A24.1","Acute and fulminating melioidosis"
"125","27","A24.2","Subacute and chronic melioidosis"
"126","27","A24.3","Other melioidosis"
"127","27","A24.4","Melioidosis, unspecified"
"128","27","A25.0","Spirillosis"
"129","27","A25.1","Streptobacillosis"
"130","27","A25.9","Rat-bite fever, unspecified"
"131","27","A26.0","Cutaneous erysipeloid"
"132","27","A26.7","Erysipelothrix septicaemia"
"133","27","A26.8","Other forms of erysipeloid"
"134","27","A26.9","Erysipeloid, unspecified"
"135","27","A27.0","Leptospirosis icterohaemorrhagica"
"136","27","A27.8","Other forms of leptospirosis"
"137","27","A27.9","Leptospirosis, unspecified"
"138","27","A28.0","Pasteurellosis"
"139","27","A28.1","Cat-scratch disease"
"140","27","A28.2","Extraintestinal yersiniosis"
"141","27","A28.8","Other specified zoonotic bacterial diseases nec"
"142","27","A28.9","Zoonotic bacterial disease, unspecified"
"143","19","A30.0","Indeterminate leprosy"
"144","19","A30.1","Tuberculoid leprosy"
"145","19","A30.2","Borderline tuberculoid leprosy"
"146","19","A30.3","Borderline leprosy"
"147","19","A30.4","Borderline lepromatous leprosy"
"148","19","A30.5","Lepromatous leprosy"
"149","19","A30.8","Other forms of leprosy"
"150","19","A30.9","Leprosy, unspecified"
"151","27","A31.0","Pulmonary mycobacterial infection"
"152","27","A31.1","Cutaneous mycobacterial infection"
"153","27","A31.8","Other mycobacterial infections"
"154","27","A31.9","Mycobacterial infection, unspecified"
"155","27","A32.0","Cutaneous listeriosis"
"156","27","A32.1","Listerial meningitis and meningoencephalitis"
"157","27","A32.7","Listerial septicaemia"
"158","27","A32.8","Other forms of listeriosis"
"159","27","A32.9","Listeriosis, unspecified"
"160","20","A33","Tetanus neonatorum"
"161","21","A34","Obstetrical tetanus"
"162","21","A35","Other tetanus"
"163","22","A36.0","Pharyngeal diphtheria"
"164","22","A36.1","Nasopharyngeal diphtheria"
"165","22","A36.2","Laryngeal diphtheria"
"166","22","A36.3","Cutaneous diphtheria"
"167","22","A36.8","Other diphtheria"
"168","22","A36.9","Diphtheria, unspecified"
"169","23","A37.0","Whooping cough due to bordetella pertussis"
"170","23","A37.1","Whooping cough due to bordetella parapertussis"
"171","23","A37.8","Whooping cough due to other bordetella species"
"172","23","A37.9","Whooping cough, unspecified"
"173","27","A38","Scarlet fever"
"174","24","A39.0","Meningococcal meningitis"
"175","24","A39.1","Waterhouse-friderichsen syndrome"
"176","24","A39.2","Acute meningococcaemia"
"177","24","A39.3","Chronic meningococcaemia"
"178","24","A39.4","Meningococcaemia, unspecified"
"179","24","A39.5","Meningococcal heart disease"
"180","24","A39.8","Other meningococcal infections"
"181","24","A39.9","Meningococcal infection, unspecified"
"182","25","A40.0","Septicaemia due to streptococcus, group a"
"183","25","A40.1","Septicaemia due to streptococcus, group b"
"184","25","A40.2","Septicaemia due to streptococcus, group d"
"185","25","A40.3","Septicaemia due to streptococcus pneumoniae"
"186","25","A40.8","Other streptococcal septicaemia"
"187","25","A40.9","Streptococcal septicaemia, unspecified"
"188","25","A41.0","Septicaemia due to staphylococcus aureus"
"189","25","A41.1","Septicaemia due to other specified staphylococcus"
"190","25","A41.2","Septicaemia due to unspecified staphylococcus"
"191","25","A41.3","Septicaemia due to haemophilus influenzae"
"192","25","A41.4","Septicaemia due to anaerobes"
"193","25","A41.5","Septicaemia due to other gram-negative organisms"
"194","25","A41.8","Other specified septicaemia"
"195","25","A41.9","Septicaemia, unspecified"
"196","27","A42.0","Pulmonary actinomycosis"
"197","27","A42.1","Abdominal actinomycosis"
"198","27","A42.2","Cervicofacial actinomycosis"
"199","27","A42.7","Actinomycotic septicaemia"
"200","27","A42.8","Other forms of actinomycosis"
"201","27","A42.9","Actinomycosis, unspecified"
"202","27","A43.0","Pulmonary nocardiosis"
"203","27","A43.1","Cutaneous nocardiosis"
"204","27","A43.8","Other forms of nocardiosis"
"205","27","A43.9","Nocardiosis, unspecified"
"206","27","A44.0","Systemic bartonellosis"
"207","27","A44.1","Cutaneous and mucocutaneous bartonellosis"
"208","27","A44.8","Other forms of bartonellosis"
"209","27","A44.9","Bartonellosis, unspecified"
"210","27","A46","Erysipelas"
"211","27","A48.0","Gas gangrene"
"212","27","A48.1","Legionnaires' disease"
"213","27","A48.2","Nonpneumonic legionnaires' disease [pontiac fever]"
"214","27","A48.3","Toxic shock syndrome"
"215","27","A48.4","Brazilian purpuric fever"
"216","27","A48.8","Other specified bacterial diseases"
"217","27","A49.0","Staphylococcal infection, unspecified"
"218","27","A49.1","Streptococcal infection, unspecified"
"219","27","A49.2","Haemophilus influenzae infection, unspecified"
