"1",NULL,"0","Therapeutic ultrasound"
"2",NULL,"00.01","Therapeutic ultrasound of vessels of head and neck"
"3",NULL,"00.02","Therapeutic ultrasound of heart"
"4",NULL,"00.03","Therapeutic ultrasound of peripheral vascular vessels"
"5",NULL,"00.09","Other therapeutic ultrasound"
"6",NULL,"00.1","Pharamaceuticals"
"7",NULL,"00.10","Implantation of chemotherapeutic agent"
"8",NULL,"00.11","Infusion of drotrecogin alfa (activated)"
"9",NULL,"00.12","Administration of inhaled nitric oxide"
"10",NULL,"00.13","Injection or infusion of nesiritide"
"11",NULL,"00.14","Injection or infusion of oxazolidinone class of antibiotics"
"12",NULL,"00.15","High-dose infusion interleukin-2 [IL-2]"
"13",NULL,"00.16","Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance"
"14",NULL,"00.17","Infusion of vasopressor agent"
"15",NULL,"00.18","Infusion of immunosuppressive antibody therapy during induction phase of solid organ"
"16",NULL,"00.2","Intravascular imaging of blood vessels"
"17",NULL,"00.21","Intravascular imaging of extracranial cerebral vessels"
"18",NULL,"00.22","Intravascular imaging of intrathoracic vessels"
"19",NULL,"00.23","Intravascular imaging of peripheral vessels"
"20",NULL,"00.24","Intravascular imaging of coronary vessels"
"21",NULL,"00.25","Intravascular imaging of renal vessels"
"22",NULL,"00.28","Intravascular imaging, other specified vessel(s)"
"23",NULL,"00.29","Intravascular imaging, unspecified vessel(s)"
"24",NULL,"00.3","Computer assisted surgery [CAS]"
"25",NULL,"00.31","Computer assisted surgery with CT/CTA"
"26",NULL,"00.32","Computer assisted surgery with MR/MRA"
"27",NULL,"00.33","Computer assisted surgery with fluoroscopy"
"28",NULL,"00.34","Imageless computer assisted surgery"
"29",NULL,"00.35","Computer assisted surgery with multiple datasets"
"30",NULL,"00.39","Other computer assisted surgery"
"31",NULL,"00.4","Adjunct Vascular System Procedures"
"32",NULL,"00.40","Procedure on single vessel"
"33",NULL,"00.41","Procedure on two vessels"
"34",NULL,"00.42","Procedure on three vessels"
"35",NULL,"00.43","Procedure on four or more vessels"
"36",NULL,"00.44","Procedure on vessel bifurcation"
"37",NULL,"00.45","Insertion of one vascular stent"
"38",NULL,"00.46","Insertion of two vascular stents"
"39",NULL,"00.47","Insertion of three vascular stents"
"40",NULL,"00.48","Insertion of four or more vascular stents"
"41",NULL,"00.5","Other cardiovascular procedures"
"42",NULL,"00.50","Implantation of cardiac resynchronization pacemaker without mention of defibrillation,"
"43",NULL,"00.51","Implantation of cardiac resynchronization defibrillator, total system [CRT-D] venous system"
"44",NULL,"00.52","Implantation or replacement of transvenous lead [electrode] into left ventricular coronary"
"45",NULL,"00.53","Implantation or replacement of cardiac resynchronization pacemaker pulse generator insertion"
"46",NULL,"00.54","Implantation or replacement of cardiac resynchronization defibrillator pulse generator"
"47",NULL,"00.55","Insertion of drug-eluting peripheral vessel stent(s)"
"48",NULL,"00.56","Insertion or replacement of implantable pressure sensor (lead) for intracardiac"
"49",NULL,"00.57","Implantation or replacement of subcutaneous device for intracardiac hemodynamic"
"50",NULL,"00.6","Procedures on blood vessels"
"51",NULL,"00.61","Percutaneous angioplasty or atherectomy of precerebral (extracranial) vessel(s)"
"52",NULL,"00.62","Percutaneous angioplasty or atherectomy of intracranial vessel(s)"
"53",NULL,"00.63","Percutaneous insertion of carotid artery stent(s)"
"54",NULL,"00.64","Percutaneous insertion of other precerebral (extracranial) artery stent(s)"
"55",NULL,"00.65","Percutaneous insertion of intracranial vascular stent(s)"
"56",NULL,"00.66","Percutaneous transluminal coronary angioplasty [PTCA] or coronary atherectomy"
"57",NULL,"00.7","Other hip procedures"
"58",NULL,"0.70","Revision of hip replacement, both acetabular and femoral components"
"59",NULL,"00.71","Revision of hip replacement, acetabular component"
"60",NULL,"00.72","Revision of hip replacement, femoral component"
"61",NULL,"00.73","Revision of hip replacement, acetabular liner and/or femoral head only"
"62",NULL,"00.74","Hip replacement bearing surface, metal on polyethylene"
"63",NULL,"00.75","Hip replacement bearing surface, metal-on-metal"
"64",NULL,"00.76","Hip replacement bearing surface, ceramic-on-ceramic"
"65",NULL,"00.77","Hip replacement bearing surface, ceramic-on-polyethylene"
"66",NULL,"00.8","Other knee and hip procedures"
"67",NULL,"00.80","Revision of knee replacement, total (all components)"
"68",NULL,"00.81","Revision of knee replacement, tibial component"
"69",NULL,"00.82","Revision of knee replacement, femoral component"
"70",NULL,"00.83","Revision of knee replacement, patellar component"
"71",NULL,"00.84","Revision of total knee replacement, tibial insert (liner)"
"72",NULL,"00.91","Transplant from live related donor"
"73",NULL,"00.92","Transplant from live non-related donor"
"74",NULL,"00.93","Transplant from cadaver"
"75",NULL,"01.0","Cranial puncture"
"76",NULL,"01.01","Cisternal puncture"
"77",NULL,"01.02","Ventriculopuncture through previously implanted catheter"
"78",NULL,"01.09","Other cranial puncture"
"79",NULL,"01.1","Diagnostic procedures on skull, brain, and cerebral meninges"
"80",NULL,"01.11","Closed (percutaneous) (needle) biosy cerebral"
"81",NULL,"01.12","Open biopsy of cerebral meninges"
"82",NULL,"01.13","Closed (percutaneous) (needle) biosy of brain"
"83",NULL,"01.14","Open biopsy of brain"
"84",NULL,"01.15","Biopsy of skull"
"85",NULL,"01.18","Other diagnostic procedures on brain and cerebral meninges"
"86",NULL,"01.19","Other diagnostic procedures on skull"
"87",NULL,"01.2","Craniotomy and craniectomy"
"88",NULL,"01.21","Incision and drainage of cranial sinus"
"89",NULL,"01.22","Removal of intaracranial neurostimulator"
